run_number, turns, k_count, g_count
863, 4, 4, 0
864, 4, 4, 1
865, 4, 4, 0
866, 4, 4, 0
867, 4, 4, 0
868, 5, 4, 1
869, 4, 4, 1
870, 4, 4, 0
871, 4, 4, 0
872, 4, 4, 0
873, 4, 4, 0
874, 3, 3, 0
875, 1, 0, 1
876, 4, 4, 0
877, 3, 3, 0
878, 4, 4, 0
879, 4, 4, 0
880, 4, 4, 0
881, 4, 4, 1
882, 4, 4, 1
883, 4, 4, 1
884, 3, 3, 0
885, 4, 4, 0
886, 4, 4, 0
887, 3, 3, 0
888, 1, 0, 1
889, 3, 3, 0
890, 4, 4, 1
891, 4, 4, 0
892, 4, 4, 0
893, 5, 4, 1
894, 5, 5, 1
895, 4, 4, 0
896, 4, 4, 1
897, 5, 4, 0
898, 6, 6, 1
899, 6, 4, 2
900, 4, 4, 0
901, 1, 0, 1
902, 5, 5, 1
903, 5, 5, 1
904, 4, 4, 0
905, 4, 4, 0
906, 5, 4, 0
907, 4, 3, 0
908, 4, 4, 1
909, 5, 5, 0
910, 4, 4, 0
911, 5, 4, 0
912, 4, 4, 0
913, 6, 4, 0
914, 4, 4, 0
915, 3, 3, 0
916, 4, 4, 1
917, 4, 4, 0
918, 4, 4, 0
919, 4, 4, 0
920, 3, 3, 0
921, 4, 4, 0
922, 4, 4, 0
923, 4, 4, 1
924, 1, 0, 1
925, 3, 3, 0
926, 5, 5, 2
927, 4, 4, 1
928, 1, 0, 1
929, 4, 4, 0
930, 4, 4, 0
931, 4, 4, 1
932, 4, 4, 0
933, 4, 4, 0
934, 4, 4, 0
935, 4, 4, 0
936, 4, 4, 1
937, 4, 4, 0
938, 4, 4, 0
939, 4, 4, 1
940, 4, 4, 0
941, 4, 4, 0
942, 4, 4, 0
943, 5, 4, 0
944, 4, 4, 0
945, 3, 3, 1
946, 4, 4, 0
947, 5, 4, 0
948, 5, 4, 2
949, 3, 3, 0
950, 1, 0, 1
951, 4, 4, 0
952, 4, 4, 0
953, 5, 5, 2
954, 4, 4, 0
955, 4, 4, 0
956, 4, 4, 2
957, 4, 4, 1
958, 4, 4, 0
959, 4, 4, 1
960, 4, 4, 0
961, 3, 3, 0
962, 4, 4, 0
963, 4, 4, 1
964, 4, 4, 0
965, 4, 4, 0
966, 4, 4, 0
967, 1, 0, 1
968, 1, 0, 1
969, 3, 3, 1
970, 5, 3, 0
971, 4, 4, 1
972, 2, 0, 1
973, 5, 5, 3
974, 1, 0, 1
975, 5, 4, 0
976, 3, 3, 0
977, 4, 4, 0
978, 4, 4, 1
979, 4, 4, 0
980, 4, 4, 0
981, 5, 5, 0
982, 4, 4, 1
983, 5, 4, 1
984, 4, 4, 0
985, 4, 4, 0
986, 6, 4, 1
987, 3, 3, 0
988, 4, 4, 0
989, 4, 4, 2
990, 3, 3, 1
991, 1, 0, 1
992, 4, 4, 0
993, 5, 4, 1
994, 4, 4, 2
995, 5, 4, 0
996, 2, 0, 1
997, 5, 5, 1
998, 5, 5, 1
999, 4, 4, 1
1000, 4, 4, 1
1001, 4, 4, 1
1002, 4, 4, 0
1003, 4, 4, 0
1004, 5, 4, 0
1005, 4, 4, 0
1006, 4, 4, 0
1007, 4, 4, 1
1008, 4, 4, 0
1009, 4, 4, 0
1010, 4, 4, 1
1011, 3, 3, 0
1012, 4, 4, 1
1013, 4, 4, 0
1014, 4, 4, 0
1015, 4, 4, 1
1016, 2, 0, 1
1017, 3, 3, 0
1018, 4, 4, 1
1019, 3, 3, 0
1020, 5, 4, 1
1021, 2, 0, 1
1022, 3, 3, 1
1023, 5, 4, 1
1024, 3, 3, 0
1025, 4, 4, 0
1026, 4, 4, 1
1027, 3, 3, 0
1028, 4, 4, 0
1029, 4, 4, 0
1030, 4, 4, 0
1031, 4, 4, 1
1032, 1, 0, 1
1033, 4, 4, 0
1034, 4, 4, 0
1035, 4, 4, 1
1036, 4, 4, 0
1037, 3, 3, 1
1038, 1, 0, 1
1039, 4, 4, 1
1040, 5, 5, 0
1041, 4, 4, 0
1042, 4, 4, 0
1043, 4, 4, 0
1044, 1, 0, 1
1045, 4, 4, 0
1046, 1, 0, 1
1047, 6, 4, 3
1048, 4, 4, 0
1049, 4, 4, 2
1050, 5, 4, 0
1051, 4, 4, 0
1052, 5, 4, 1
1053, 4, 4, 0
1054, 3, 0, 1
1055, 4, 4, 0
1056, 5, 5, 1
1057, 4, 4, 0
1058, 4, 4, 0
1059, 4, 4, 1
1060, 4, 4, 1
1061, 4, 4, 0
1062, 5, 5, 0
1063, 5, 5, 1
1064, 4, 4, 0
1065, 4, 4, 1
1066, 4, 4, 1
1067, 7, 4, 0
1068, 3, 3, 0
1069, 4, 4, 0
1070, 4, 4, 0
1071, 4, 4, 0
1072, 4, 4, 0
1073, 5, 5, 2
1074, 4, 4, 0
1075, 4, 4, 0
1076, 4, 4, 1
1077, 5, 5, 1
1078, 4, 4, 1
1079, 4, 4, 0
1080, 4, 4, 1
1081, 4, 4, 0
1082, 4, 4, 0
1083, 4, 4, 0
1084, 4, 4, 1
1085, 4, 4, 1
1086, 5, 4, 0
1087, 4, 4, 0
1088, 4, 4, 0
1089, 4, 4, 0
1090, 5, 4, 1
1091, 4, 4, 2
1092, 4, 4, 0
1093, 5, 4, 0
1094, 4, 4, 1
1095, 4, 4, 0
1096, 4, 4, 2
1097, 4, 4, 0
1098, 3, 3, 0
1099, 4, 4, 0
1100, 4, 4, 1
1101, 4, 4, 0
1102, 4, 4, 0
1103, 4, 4, 0
1104, 4, 4, 0
1105, 4, 4, 0
1106, 4, 4, 0
1107, 1, 0, 1
1108, 4, 4, 0
1109, 3, 3, 0
1110, 4, 3, 0
1111, 4, 4, 2
1112, 3, 3, 0
1113, 4, 4, 1
1114, 4, 4, 0
1115, 5, 4, 0
1116, 4, 4, 1
1117, 4, 4, 1
1118, 4, 4, 0
1119, 4, 4, 1
1120, 4, 4, 0
1121, 4, 4, 0
1122, 3, 3, 0
1123, 4, 4, 0
1124, 4, 4, 0
1125, 6, 4, 0
1126, 4, 4, 0
1127, 4, 4, 1
1128, 4, 4, 0
1129, 4, 4, 0
1130, 4, 4, 0
1131, 4, 4, 1
1132, 5, 5, 1
1133, 4, 4, 0
1134, 4, 4, 1
1135, 4, 4, 0
1136, 4, 4, 0
1137, 4, 4, 2
1138, 4, 4, 0
1139, 1, 0, 1
1140, 4, 4, 0
1141, 4, 4, 1
1142, 6, 4, 1
1143, 4, 4, 0
1144, 4, 4, 1
1145, 1, 0, 1
1146, 4, 4, 0
1147, 5, 4, 0
1148, 5, 4, 1
1149, 4, 4, 0
1150, 4, 4, 0
1151, 3, 3, 1
1152, 4, 4, 0
1153, 3, 3, 0
1154, 4, 4, 0
1155, 5, 4, 0
1156, 4, 4, 0
1157, 4, 4, 0
1158, 4, 4, 0
1159, 4, 4, 0
1160, 5, 4, 1
1161, 3, 3, 0
1162, 4, 4, 0
1163, 5, 5, 0
1164, 3, 3, 1
1165, 4, 4, 1
1166, 4, 4, 0
1167, 5, 5, 1
1168, 1, 0, 1
1169, 4, 4, 0
1170, 4, 4, 0
1171, 4, 4, 0
1172, 4, 4, 1
1173, 4, 4, 1
1174, 4, 4, 0
1175, 3, 3, 0
1176, 5, 4, 0
1177, 4, 4, 1
1178, 4, 4, 1
1179, 4, 4, 0
1180, 1, 0, 1
1181, 4, 4, 0
1182, 4, 4, 0
1183, 4, 4, 0
1184, 4, 4, 1
1185, 3, 3, 0
1186, 4, 4, 1
1187, 3, 3, 0
1188, 4, 4, 1
1189, 6, 4, 0
1190, 4, 4, 0
1191, 1, 0, 1
1192, 1, 0, 1
1193, 4, 4, 0
1194, 4, 4, 1
1195, 1, 0, 1
1196, 4, 4, 0
1197, 4, 4, 0
1198, 4, 4, 0
1199, 4, 4, 0
1200, 4, 4, 0
1201, 4, 4, 1
1202, 4, 4, 2
1203, 4, 4, 0
1204, 5, 4, 1
1205, 4, 4, 1
1206, 4, 4, 0
1207, 4, 4, 0
1208, 1, 0, 1
1209, 4, 4, 1
1210, 5, 5, 1
1211, 5, 4, 0
1212, 2, 0, 1
1213, 4, 4, 0
1214, 5, 4, 1
1215, 4, 4, 0
1216, 4, 4, 0
1217, 4, 4, 1
1218, 4, 4, 0
1219, 5, 4, 0
1220, 4, 4, 0
1221, 4, 4, 0
1222, 8, 4, 0
1223, 4, 4, 0
1224, 4, 3, 0
1225, 4, 4, 1
1226, 3, 3, 0
1227, 5, 5, 1
1228, 4, 4, 1
1229, 4, 4, 0
1230, 4, 4, 0
1231, 3, 3, 0
1232, 3, 3, 0
1233, 5, 5, 1
1234, 4, 4, 1
1235, 4, 4, 0
1236, 1, 0, 1
1237, 1, 0, 1
1238, 4, 4, 0
1239, 4, 4, 0
1240, 4, 4, 1
1241, 4, 4, 0
1242, 4, 4, 0
1243, 3, 3, 0
